ts_name,compression,tol_used,error,SAX_2,oneD_SAX_2,ABBA_2,SAX_DTW,oneD_SAX_DTW,ABBA_DTW,SAX_2_diff,oneD_SAX_2_diff,ABBA_2_diff,SAX_DTW_diff,oneD_SAX_DTW_diff,ABBA_DTW_diff
StarLightCurves_TEST.tsv_0,0.02734375,0.05,0,13.396876935338177,20.248306599746126,41.72349803814942,12.129132035575156,16.479649909715267,2.2983711905901774,3.442161025892154,2.8205042210462494,1.2493489529371262,3.3992900759622655,2.7459319348142346,0.19322137951933419
StarLightCurves_TRAIN.tsv_0,0.0244140625,0.05,0,5.883368209590257,9.258244739834387,10.829268917923153,5.385252295309182,7.460228420707757,0.7654370528522288,1.9335197342675217,1.6724235420740914,0.40556856352541404,1.9085646749980216,1.6408282435174362,0.15785618060363993
Earthquakes_TEST.tsv_0,0.17578125,0.05,0,18.796481553812622,19.718821635458017,44.87611877453538,18.146654268817073,19.32971111593753,14.85788618372156,29.21483060304622,28.84137400710114,42.23902222605094,25.930365098960884,26.889368289305416,3.7870498377240853
Earthquakes_TRAIN.tsv_5,0.154296875,0.05,0,19.377175565198772,19.815583071875857,38.987128541365855,19.201749421605047,19.440724093368786,7.621619936052115,28.945625744796665,28.920872009978577,44.80835691935994,26.498331487842773,27.083526485871346,1.866019793791315
SemgHandMovementCh2_TRAIN.tsv_134,0.17533333333333334,0.5,0,33.541141777820314,35.37577763871377,90.56690351516534,33.084403804970236,34.35298293645389,38.499560912549065,39.5559446340567,39.34053112535639,53.54241480311277,37.52059446278252,37.41103277713944,19.959387376811858
SemgHandMovementCh2_TEST.tsv_379,0.15466666666666667,0.35000000000000003,0,33.516651322741865,35.28842245929565,63.43495518064283,33.12965576289757,34.30592826156139,29.496000409757638,30.804127429448897,30.819201310353556,42.764134973174855,28.64867031770888,29.234971334078217,12.200678101308416
InlineSkate_TRAIN.tsv_0,0.015940488841657812,0.05,0,7.44231030114885,15.615767275078658,17.959695790071937,7.147369776825373,7.7132449349335435,2.542958121923698,2.4009180362960483,2.034859854095826,1.0174860076590542,2.2224047461101026,1.8929377645835064,0.9954659206814281
InlineSkate_TEST.tsv_0,0.011158342189160468,0.05,0,15.18806897829029,21.863427863802386,24.338721022390004,14.87273319292396,14.286025333868636,1.2164265390311098,3.1759873738420463,1.910637855490137,0.6455567647298369,3.0689747923907285,1.8141770865206317,0.5223566865504317
WormsTwoClass_TRAIN.tsv_0,0.15444444444444444,0.05,0,7.374616984477659,14.041566621289858,27.977377661202922,7.072440612731267,11.587147658552574,2.7844633876355886,4.088085644295296,4.460339879104641,2.286095131425638,3.455068175119923,3.725683770930606,1.0676628768741914
WormsTwoClass_TEST.tsv_0,0.15222222222222223,0.05,0,7.180125067033449,12.174855540853695,27.54672353671135,6.913479513641103,9.957661179548078,4.001738638161806,3.7738547500545305,4.330457668261022,1.7768787638256116,3.31190765540967,3.665513828588142,0.9678585607680925
OliveOil_TRAIN.tsv_0,0.09298245614035087,0.05,0,8.863826195973072,12.562193709639729,31.68198507919159,8.479906666410207,11.053787199219093,4.102623282704367,3.8882184836302627,3.412475886522976,2.683206769409722,3.280228826973865,2.9965177779325103,1.1407168920521893
OliveOil_TEST.tsv_0,0.09649122807017543,0.05,0,8.93270536410485,12.637682125747718,30.997578135879674,8.509665822454897,11.146080329263677,1.314104815366056,3.89215935618363,3.4510008250999835,2.5734496529236326,3.2813777646529974,3.025646475849292,1.1520571921981402
Meat_TEST.tsv_0,0.06919642857142858,0.05,0,7.4088764109463305,10.912885767822633,28.42592390113666,7.321381043285461,9.063873716653571,0.8898738738400693,2.226052513154125,1.4780702935350387,1.1899041168755562,1.940936478812296,1.1617127777707215,0.4636424070678476
Meat_TRAIN.tsv_0,0.06696428571428571,0.05,0,7.451142475475998,10.726348595654384,26.716950559293597,7.256745038580489,8.85667597029768,1.2199206290346665,2.382653476919327,1.490734850778306,1.1397778820855171,2.081573630081677,1.1682696478491477,0.45147473486582673
FiftyWords_TRAIN.tsv_0,0.0962962962962963,0.05,0,7.521200400673211,11.267478038967157,10.368235079318612,7.47454323832824,10.051286623625485,1.1509055159520185,2.4944930190740395,2.296032773569991,1.3173337703202734,2.3611685968076035,2.079967287985712,0.332158303434832
FiftyWords_TEST.tsv_0,0.05555555555555555,0.05,0,4.614034446606595,8.63444581521852,8.821914734151306,4.293086692440158,6.291065846146547,0.3255881575863843,2.2962904149673236,2.4266184395740074,0.5039064310017031,2.25526685828002,2.3444745964020366,0.15391856289518696
MixedShapesSmallTrain_TRAIN.tsv_0,0.109375,0.05,0,9.604034298004223,17.208137400905915,30.935811625906403,9.537076026564042,14.47134694508588,5.864194241630454,2.2715454193769333,3.6159394374744895,1.2686168508922278,2.040075056536536,3.304637888080426,0.765122056378862
MixedShapesSmallTrain_TEST.tsv_0,0.0439453125,0.05,0,10.270881161861542,17.332090858847735,8.475537258406908,10.130468520497518,13.088913763218814,1.6601606655737409,2.4026272784974743,2.4522887214969904,0.5989292369687801,2.3258560989416392,2.3183628049231024,0.49511986415308584
ECGFiveDays_TRAIN.tsv_0,0.16176470588235295,0.1,0,9.451449920824345,9.79917118331437,15.204740666233786,8.179583125664676,8.397575092019295,1.3978817483082728,8.674272682889924,8.518471296714875,13.936116350037523,6.048747537972641,6.501970890638585,1.0828272662184588
